age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
35.0,14,2.3,5.0,0.7,1.7,1.7,3.3,2.7,3.0,0.7,1.0,1.7,1.0,0.7,0.0,0.3,0.3,8.0
36.0,15,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
28.0,7,1.0,2.3,0.0,0.7,1.0,1.7,0.3,0.3,0.0,1.7,1.7,0.7,0.3,0.3,0.0,0.3,2.3
30.0,8,1.0,2.5,0.0,1.0,1.0,1.5,0.0,0.0,0.5,1.5,2.0,1.0,0.5,0.5,0.5,0.5,2.0
29.0,7,2.0,7.3,1.0,3.5,1.0,3.8,0.5,1.0,3.0,4.3,7.3,2.3,0.3,1.0,0.5,2.3,5.5
24.0,5,6.0,12.0,1.0,5.0,5.0,7.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,0.0,6.0,2.0,15.0
22.0,2,3.3,6.8,1.0,2.5,2.3,4.3,0.5,0.8,0.5,4.0,4.5,2.0,0.3,0.5,1.0,2.5,8.0
25.0,3,0.7,3.0,0.3,1.7,0.3,1.3,0.0,0.0,0.0,1.7,1.7,2.0,0.3,0.0,1.0,2.7,1.7
22.0,3,2.7,4.3,0.0,0.0,2.7,4.3,0.3,1.0,2.3,2.3,4.7,0.3,0.3,1.0,2.0,2.7,5.7
26.0,7,11.3,23.3,3.0,8.0,8.3,15.3,5.7,7.0,1.0,3.3,4.3,6.0,1.3,0.7,2.7,4.0,31.3
26.0,5,6.0,10.5,2.3,5.0,3.8,5.5,2.5,3.0,0.8,3.5,4.3,1.3,1.3,0.3,0.5,3.0,16.8
25.0,6,2.7,8.7,1.0,4.0,1.7,4.7,1.7,1.7,0.3,2.7,3.0,5.3,1.7,0.3,1.3,2.0,8.0
34.0,15,8.3,18.5,0.5,2.0,7.8,16.5,6.3,8.0,1.3,2.3,3.5,3.3,1.5,1.3,0.8,2.0,23.3
27.0,5,1.7,5.3,1.3,4.7,0.3,0.7,0.0,0.0,0.7,3.0,3.7,1.3,0.7,0.3,0.7,2.7,4.7
25.0,6,4.3,7.3,0.0,0.0,4.3,7.3,0.3,0.3,4.0,10.8,14.8,1.5,1.5,1.0,1.5,3.3,8.8
27.0,7,8.5,16.8,1.0,4.0,7.5,12.8,3.3,3.8,0.5,3.8,4.3,5.5,1.3,0.5,2.0,0.5,21.3
31.0,9,1.0,4.3,0.3,0.7,0.7,3.7,1.3,1.7,0.3,3.0,3.3,5.0,1.7,0.3,0.3,0.3,3.7
23.0,4,4.0,8.7,1.0,2.0,3.0,6.7,1.0,1.3,2.0,4.7,6.7,2.7,1.3,0.0,1.0,2.0,10.0
30.0,11,5.0,13.0,2.8,5.5,2.3,7.5,1.5,2.0,1.0,1.5,2.5,8.8,0.8,0.0,1.5,1.0,14.3
26.0,7,1.7,4.0,0.7,1.3,1.0,2.7,0.3,0.7,1.0,2.0,3.0,1.3,0.3,0.0,1.0,2.3,4.3
19.0,1,4.0,4.7,0.0,0.0,4.0,4.7,1.0,1.7,2.3,3.7,6.0,0.3,0.3,1.0,0.7,3.0,9.0
26.0,8,3.0,6.0,1.3,3.3,1.7,2.7,1.7,2.7,0.0,2.0,2.0,0.3,0.0,0.0,1.0,0.3,9.0
35.0,15,3.0,9.3,1.3,2.5,1.8,6.8,0.8,1.0,1.0,1.0,2.0,2.8,0.5,0.3,1.5,0.8,8.0
29.0,7,5.0,8.0,2.3,4.0,2.7,4.0,2.7,3.3,1.3,3.0,4.3,4.3,1.7,1.7,1.7,1.7,15.0
25.0,4,9.3,19.0,3.3,9.3,6.0,9.8,3.8,4.3,1.0,3.0,4.0,4.0,2.0,0.5,2.8,2.8,25.5
27.0,9,13.0,21.0,3.0,8.0,10.0,13.0,3.0,3.0,1.0,5.0,6.0,8.0,1.0,0.0,6.0,4.0,32.0
